client_id,storage,sku_id,item_description,detailed_description,manufacturer,mfg_part_nos,fitment,bom_structure,bom_qty,bom_grp,bom_id,bom_ref,plan_grp
,,10119,"SHAFT, KEEL HOLD DOWN;DANFOSS;4250132","SHAFT, KEEL HOLD DOWN",DANFOSS,4250132,TANDEM PUMP,AUXILIARY MOUNTING,0,,S01,,
,,10092,"SCR VALVE ASSEMBLY, 190 BAR [2755 PSI];DANFOSS;4350642","SCR VALVE ASSEMBLY, 190 BAR [2755 PSI]",DANFOSS,4350642,TANDEM PUMP,SYSTEM PRESSURE PROTECTION,0,,M1 0,,
,,10092,"SCR VALVE ASSEMBLY, 190 BAR [2755 PSI];DANFOSS;4350642","SCR VALVE ASSEMBLY, 190 BAR [2755 PSI]",DANFOSS,4350642,TANDEM PUMP,SYSTEM PRESSURE PROTECTION,0,,M20,,
,,10092,"SCR VALVE ASSEMBLY, 190 BAR [2755 PSI];DANFOSS;4350642","SCR VALVE ASSEMBLY, 190 BAR [2755 PSI]",DANFOSS,4350642,TANDEM PUMP,SYSTEM PRESSURE PROTECTION,0,,V1 0,,
,,10092,"SCR VALVE ASSEMBLY, 190 BAR [2755 PSI];DANFOSS;4350642","SCR VALVE ASSEMBLY, 190 BAR [2755 PSI]",DANFOSS,4350642,TANDEM PUMP,SYSTEM PRESSURE PROTECTION,0,,V10,,
,,10094,O-RING;DANFOSS;504080,O-RING,DANFOSS,504080,TANDEM PUMP,COMMON SYSTEM PRESSURE PROTECTION O-RINGS,2,,M023,,
,,10094,O-RING;DANFOSS;504080,O-RING,DANFOSS,9004100-2110,TANDEM PUMP,COMMON SYSTEM PRESSURE PROTECTION O-RINGS,2,,M023,,
,,10094,O-RING;DANFOSS;504080,O-RING,DANFOSS,504080,TANDEM PUMP,COMMON SYSTEM PRESSURE PROTECTION O-RINGS,2,,M023,,
,,10094,O-RING;DANFOSS;504080,O-RING,DANFOSS,9004100-2110,TANDEM PUMP,COMMON SYSTEM PRESSURE PROTECTION O-RINGS,2,,M023,,
,,10094,O-RING;DANFOSS;504080,O-RING,DANFOSS,504080,TANDEM PUMP,COMMON SYSTEM PRESSURE PROTECTION O-RINGS,1,,M023,,
,,10094,O-RING;DANFOSS;504080,O-RING,DANFOSS,9004100-2110,TANDEM PUMP,COMMON SYSTEM PRESSURE PROTECTION O-RINGS,1,,M023,,
,,10094,O-RING;DANFOSS;504080,O-RING,DANFOSS,504080,TANDEM PUMP,COMMON SYSTEM PRESSURE PROTECTION O-RINGS,2,,M023,,
,,10094,O-RING;DANFOSS;504080,O-RING,DANFOSS,9004100-2110,TANDEM PUMP,COMMON SYSTEM PRESSURE PROTECTION O-RINGS,2,,M023,,
,,10096,"SCR VALVE ASSEMBLY, 345 BAR [5000 PSI];DANFOSS;4350636","SCR VALVE ASSEMBLY, 345 BAR [5000 PSI]",DANFOSS,4350636,TANDEM PUMP,SYSTEM  PRESSURE PROTECTION,0,,M10,,
,,10130,CYLINDER BLOCK KIT;DANFOSS;42Ti00ó2,CYLINDER BLOCK KIT,DANFOSS,42Ti00ó2,TANDEM PUMP,SPECIAL HARDWARE,0,,B22,,
